Date,Mainland China,Other locations,Total,plusNum,plusPercentNum,date_day
2020-02-16 22:30:00,1770,5,1775,10721,0.06003740788029478,2020-02-16
2020-02-15 23:00:00,1665,4,1669,10721,0.06003740788029478,2020-02-15
2020-02-14 23:00:00,1523,3,1526,10721,0.06003740788029478,2020-02-14
2020-02-13 22:00:00,1380,3,1383,10721,0.06003740788029478,2020-02-13
2020-02-12 21:30:00,1366,2,1368,10721,0.06003740788029478,2020-02-12
2020-02-11 23:00:00,1113,2,1115,10721,0.06003740788029478,2020-02-11
2020-02-10 22:30:00,1015,2,1017,10721,0.06003740788029478,2020-02-10
2020-02-09 23:00:00,908,2,910,10721,0.06003740788029478,2020-02-09
2020-02-08 22:00:00,811,2,813,10721,0.06003740788029478,2020-02-08
2020-02-07 23:00:00,722,2,724,10721,0.06003740788029478,2020-02-07
2020-02-06 21:30:00,636,2,638,10721,0.06003740788029478,2020-02-06
2020-02-05 23:00:00,563,2,565,10721,0.06003740788029478,2020-02-05
2020-02-04 20:00:00,490,2,492,10721,0.06003740788029478,2020-02-04
2020-02-03 20:00:00,425,1,426,10721,0.06003740788029478,2020-02-03
2020-02-02 22:00:00,361,1,362,10721,0.06003740788029478,2020-02-02
2020-02-01 23:00:00,304,1,305,10721,0.06003740788029478,2020-02-01
2020-01-31 19:00:00,259,0,259,10721,0.06003740788029478,2020-01-31
2020-01-30 21:30:00,213,0,213,10721,0.06003740788029478,2020-01-30
2020-01-29 21:00:00,170,0,170,10721,0.06003740788029478,2020-01-29
2020-01-28 23:00:00,132,0,132,10721,0.06003740788029478,2020-01-28
2020-01-27 20:30:00,106,0,106,10721,0.06003740788029478,2020-01-27
2020-01-26 23:00:00,80,0,80,10721,0.06003740788029478,2020-01-26
2020-01-25 22:00:00,56,0,56,10721,0.06003740788029478,2020-01-25
2020-01-24 12:00:00,26,0,26,10721,0.06003740788029478,2020-01-24
2020-01-23 00:00:00,18,0,18,10721,0.06003740788029478,2020-01-23
2020-01-22 00:00:00,17,0,17,10721,0.06003740788029478,2020-01-22
2020-01-21 00:00:00,6,0,6,10721,0.06003740788029478,2020-01-21
