Date,Mainland China,Other locations,Total,plusNum,plusPercentNum,date_day
2020-02-14 23:00:00,8168,98,8266,30230,0.04912715205527983,2020-02-14
2020-02-13 22:00:00,6728,86,6814,30230,0.04912715205527983,2020-02-13
2020-02-12 21:30:00,5918,68,5986,30230,0.04912715205527983,2020-02-12
2020-02-11 23:00:00,4768,57,4825,30230,0.04912715205527983,2020-02-11
2020-02-10 22:30:00,4014,49,4063,30230,0.04912715205527983,2020-02-10
2020-02-09 23:00:00,3328,43,3371,30230,0.04912715205527983,2020-02-09
2020-02-08 22:00:00,2673,34,2707,30230,0.04912715205527983,2020-02-08
2020-02-07 23:00:00,2062,31,2093,30230,0.04912715205527983,2020-02-07
2020-02-06 21:30:00,1537,22,1559,30230,0.04912715205527983,2020-02-06
2020-02-05 23:00:00,1189,20,1209,30230,0.04912715205527983,2020-02-05
2020-02-04 20:00:00,882,17,899,30230,0.04912715205527983,2020-02-04
2020-02-03 20:00:00,624,13,637,30230,0.04912715205527983,2020-02-03
2020-02-02 22:00:00,477,11,488,30230,0.04912715205527983,2020-02-02
2020-02-01 23:00:00,331,10,340,30230,0.04912715205527983,2020-02-01
2020-01-31 19:00:00,241,10,251,30230,0.04912715205527983,2020-01-31
2020-01-30 21:30:00,179,8,187,30230,0.04912715205527983,2020-01-30
2020-01-29 21:00:00,127,6,133,30230,0.04912715205527983,2020-01-29
2020-01-28 23:00:00,104,6,110,30230,0.04912715205527983,2020-01-28
2020-01-27 20:30:00,60,3,63,30230,0.04912715205527983,2020-01-27
2020-01-26 23:00:00,51,3,54,30230,0.04912715205527983,2020-01-26
2020-01-25 22:00:00,49,0,49,30230,0.04912715205527983,2020-01-25
2020-01-24 12:00:00,36,0,36,30230,0.04912715205527983,2020-01-24
2020-01-23 00:00:00,30,0,30,30230,0.04912715205527983,2020-01-23
2020-01-22 00:00:00,0,0,0,30230,0.04912715205527983,2020-01-22
2020-01-21 00:00:00,0,0,0,30230,0.04912715205527983,2020-01-21
