Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
Maine,US,04/27/2020 14:50,1015,50,532,2020-04-27 14:50:00,433,45.709097,-68.8590201
North Dakota,US,04/27/2020 14:50,867,17,326,2020-04-27 14:50:00,524,47.6201461,-100.540737
Vermont,US,04/27/2020 14:50,851,46,0,2020-04-27 14:50:00,805,44.5990718,-72.5002608
Hawaii,US,04/27/2020 14:50,606,14,488,2020-04-27 14:50:00,104,21.2160437,-157.975203
Wyoming,US,04/27/2020 14:50,502,7,321,2020-04-27 14:50:00,174,43.1700264,-107.5685348
Montana,US,04/27/2020 14:50,448,14,339,2020-04-27 14:50:00,95,47.3752671,-109.63875790000002
Alaska,US,04/27/2020 14:50,341,9,217,2020-04-27 14:50:00,115,64.44596130000001,-149.680909
Guam,US,04/27/2020 14:50,141,5,126,2020-04-27 14:50:00,10,13.4501257,144.757551
Northern Mariana Islands,US,04/27/2020 14:50,14,2,11,2020-04-27 14:50:00,1,14.149020499999999,145.2134525
Puerto Rico,US,04/27/2020 14:50,1371,84,391,2020-04-27 14:50:00,896,18.2214149,-66.4132818
United States Virgin Islands,US,04/27/2020 14:50,57,4,51,2020-04-27 14:50:00,2,17.789187,-64.7080574
Veteran Affairs,US,04/27/2020 14:50,6860,424,0,2020-04-27 14:50:00,6436,33.8008734,-84.3128071
US Military,US,04/27/2020 14:50,6213,26,1947,2020-04-27 14:50:00,4240,35.46918839999999,-97.5076895
Navajo Nation,US,04/27/2020 14:50,1540,58,0,2020-04-27 14:50:00,1482,36.3089731,-109.32568799999999
Federal Prisons,US,04/27/2020 14:50,1118,27,509,2020-04-27 14:50:00,582,44.02404779999999,-92.4365398
Grand Princess Ship,US,04/27/2020 14:50,103,3,0,2020-04-27 14:50:00,100,51.4676318,0.42745029999999995
Wuhan Repatriated,US,04/27/2020 14:50,3,0,0,2020-04-27 14:50:00,3,21.345382,-158.070637
Diamond Princess Ship,US,04/27/2020 14:50,46,0,0,2020-04-27 14:50:00,46,43.48931500000001,-73.749487
Maharashtra,India,04/27/2020 14:50,8068,342,1188,2020-04-27 14:50:00,6538,19.531932,76.0554568
Gujarat,India,04/27/2020 14:50,3301,151,313,2020-04-27 14:50:00,2837,22.415408199999998,72.031497
Delhi,India,04/27/2020 14:50,2918,54,877,2020-04-27 14:50:00,1987,28.6517178,77.22193879999998
Rajasthan,India,04/27/2020 14:50,2234,46,669,2020-04-27 14:50:00,1519,26.8105777,73.76845490000002
Madhya Pradesh,India,04/27/2020 14:50,2090,103,302,2020-04-27 14:50:00,1685,23.8143419,77.5340719
Tamil Nadu,India,04/27/2020 14:50,1885,24,1020,2020-04-27 14:50:00,841,10.909433400000001,78.3665347
Uttar Pradesh,India,04/27/2020 14:50,1873,30,327,2020-04-27 14:50:00,1516,27.1303344,80.859666
Andhra Pradesh,India,04/27/2020 14:50,1177,31,235,2020-04-27 14:50:00,911,15.9240905,80.1863809
Telangana,India,04/27/2020 14:50,1001,25,316,2020-04-27 14:50:00,660,17.8495919,79.1151663
West Bengal,India,04/27/2020 14:50,649,20,105,2020-04-27 14:50:00,524,22.9964948,87.6855882
Jammu and Kashmir,India,04/27/2020 14:50,523,6,137,2020-04-27 14:50:00,380,34.0476564,76.7972892
Karnataka,India,04/27/2020 14:50,511,19,182,2020-04-27 14:50:00,310,14.520389600000001,75.7223521
Kerala,India,04/27/2020 14:50,469,4,342,2020-04-27 14:50:00,123,10.352874400000001,76.5120396
Punjab,India,04/27/2020 14:50,322,18,84,2020-04-27 14:50:00,220,30.92932110000001,75.5004841
Haryana,India,04/27/2020 14:50,299,3,205,2020-04-27 14:50:00,91,29.0,76.0
Bihar,India,04/27/2020 14:50,290,2,56,2020-04-27 14:50:00,232,25.6440845,85.906508
Odisha,India,04/27/2020 14:50,108,1,35,2020-04-27 14:50:00,72,20.5431241,84.6897321
Jharkhand,India,04/27/2020 14:50,83,3,13,2020-04-27 14:50:00,67,23.455980899999997,85.2557301
Uttarakhand,India,04/27/2020 14:50,51,0,26,2020-04-27 14:50:00,25,30.0919936,79.3217666
Himachal Pradesh,India,04/27/2020 14:50,40,2,22,2020-04-27 14:50:00,16,31.8167602,77.34932049999998
Chhattisgarh,India,04/27/2020 14:50,37,0,32,2020-04-27 14:50:00,5,21.6637359,81.84063509999999
Assam,India,04/27/2020 14:50,36,1,27,2020-04-27 14:50:00,8,26.4073841,93.25513029999999
Chandigarh,India,04/27/2020 14:50,36,0,17,2020-04-27 14:50:00,19,30.7194022,76.7646552
Andaman and Nicobar Islands,India,04/27/2020 14:50,33,0,11,2020-04-27 14:50:00,22,10.2188344,92.57713290000001
Ladakh,India,04/27/2020 14:50,20,0,16,2020-04-27 14:50:00,4,33.9456407,77.6568576
Meghalaya,India,04/27/2020 14:50,12,1,0,2020-04-27 14:50:00,11,25.5379432,91.29991020000001
Puducherry,India,04/27/2020 14:50,8,0,4,2020-04-27 14:50:00,4,11.934056800000002,79.83064470000002
Goa,India,04/27/2020 14:50,7,0,7,2020-04-27 14:50:00,0,15.3004543,74.08551340000002
Manipur,India,04/27/2020 14:50,2,0,2,2020-04-27 14:50:00,0,24.7208818,93.9229386
Tripura,India,04/27/2020 14:50,2,0,2,2020-04-27 14:50:00,0,23.7750823,91.70250909999999
Arunachal Pradesh,India,04/27/2020 14:50,1,0,1,2020-04-27 14:50:00,0,27.6891712,96.45972259999999
Mizoram,India,04/27/2020 14:50,1,0,0,2020-04-27 14:50:00,1,23.2146169,92.86876120000001
Nagaland,India,04/27/2020 14:50,0,0,0,2020-04-27 14:50:00,0,26.1630556,94.5884911
Dadra and Nagar Haveli,India,04/27/2020 14:50,0,0,0,2020-04-27 14:50:00,0,20.2735169,73.0043578
Daman and Diu,India,04/27/2020 14:50,0,0,0,2020-04-27 14:50:00,0,20.7182902,70.98539170000002
Lakshadweep,India,04/27/2020 14:50,0,0,0,2020-04-27 14:50:00,0,10.883277099999999,72.8171069
Sikkim,India,04/27/2020 14:50,0,0,0,2020-04-27 14:50:00,0,27.601028999999997,88.45413640000002
Hubei,China,04/27/2020 14:50,68128,4512,63593,2020-04-27 14:50:00,23,31.151725199999998,112.87832220000001
Heilongjiang,China,04/27/2020 14:50,930,13,509,2020-04-27 14:50:00,408,48.00000470000001,127.99999199999999
Shanghai,China,04/27/2020 14:50,641,7,558,2020-04-27 14:50:00,76,31.225298499999997,121.4890497
Beijing,China,04/27/2020 14:50,593,8,525,2020-04-27 14:50:00,60,39.906217,116.3912757
Guangdong,China,04/27/2020 14:50,1585,8,1534,2020-04-27 14:50:00,43,23.135769399999997,113.19826880000001
Inner Mongolia,China,04/27/2020 14:50,197,1,114,2020-04-27 14:50:00,82,43.2443242,114.32516640000001
Fujian,China,04/27/2020 14:50,355,1,349,2020-04-27 14:50:00,5,26.5450001,117.84277800000001
Shanxi,China,04/27/2020 14:50,197,0,149,2020-04-27 14:50:00,48,37.0,112.0
Zhejiang,China,04/27/2020 14:50,1268,1,1256,2020-04-27 14:50:00,11,29.000000099999998,119.9999999
Tianjin,China,04/27/2020 14:50,190,3,181,2020-04-27 14:50:00,6,39.1235635,117.1980785
Shandong,China,04/27/2020 14:50,787,7,767,2020-04-27 14:50:00,13,36.0000001,118.9999999
Jiangsu,China,04/27/2020 14:50,653,0,646,2020-04-27 14:50:00,7,33.0000001,119.9999999
Sichuan,China,04/27/2020 14:50,561,3,558,2020-04-27 14:50:00,0,30.500000099999998,102.4999999
Liaoning,China,04/27/2020 14:50,146,2,143,2020-04-27 14:50:00,1,40.9739116,122.3263915
Yunnan,China,04/27/2020 14:50,185,2,180,2020-04-27 14:50:00,3,25.0,102.0
Hebei,China,04/27/2020 14:50,328,6,318,2020-04-27 14:50:00,4,39.0000001,116.0
Shaanxi,China,04/27/2020 14:50,286,3,253,2020-04-27 14:50:00,30,36.0,109.0
Jilin,China,04/27/2020 14:50,109,1,99,2020-04-27 14:50:00,9,42.9995032,125.9816054
Chongqing,China,04/27/2020 14:50,579,6,573,2020-04-27 14:50:00,0,29.5585712,106.5492822
Henan,China,04/27/2020 14:50,1276,22,1254,2020-04-27 14:50:00,0,34.0000001,113.9999999
Gansu,China,04/27/2020 14:50,139,2,137,2020-04-27 14:50:00,0,38.0000001,101.9999999
Hunan,China,04/27/2020 14:50,1019,4,1015,2020-04-27 14:50:00,0,27.6662087,111.74870630000001
Anhui,China,04/27/2020 14:50,991,6,985,2020-04-27 14:50:00,0,32.0,117.0
Jiangxi,China,04/27/2020 14:50,937,1,936,2020-04-27 14:50:00,0,28.0,116.0
Guizhou,China,04/27/2020 14:50,147,2,145,2020-04-27 14:50:00,0,27.0,107.0
Guangxi,China,04/27/2020 14:50,254,2,252,2020-04-27 14:50:00,0,24.0,109.0
Hainan,China,04/27/2020 14:50,168,6,162,2020-04-27 14:50:00,0,19.2000001,109.5999999
Xinjiang,China,04/27/2020 14:50,76,3,73,2020-04-27 14:50:00,0,41.7574769,87.1673842
Ningxia,China,04/27/2020 14:50,75,0,75,2020-04-27 14:50:00,0,37.3095528,105.9608553
Qinghai,China,04/27/2020 14:50,18,0,18,2020-04-27 14:50:00,0,35.40709520000001,95.95211570000001
Tibet,China,04/27/2020 14:50,1,0,1,2020-04-27 14:50:00,0,31.894343199999998,87.07813709999998
