Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_IST,Remaining,lat,lon
,Hungary,04/27/2020 14:50,2583,280,498,2020-04-27 14:50:00,1805,47.1817585,19.5060937
,Greece,04/27/2020 14:50,2517,134,577,2020-04-27 14:50:00,1806,38.995368299999996,21.987713199999998
,Oman,04/27/2020 14:50,2049,10,364,2020-04-27 14:50:00,1675,21.000028699999998,57.00369010000001
,Croatia,04/27/2020 14:50,2030,55,1103,2020-04-27 14:50:00,872,45.5643442,17.0118954
,Uzbekistan,04/27/2020 14:50,1887,8,804,2020-04-27 14:50:00,1075,41.32373,63.9528098
,Iraq,04/27/2020 14:50,1820,87,1263,2020-04-27 14:50:00,470,33.0955793,44.174977500000004
,Armenia,04/27/2020 14:50,1808,29,848,2020-04-27 14:50:00,931,40.7696272,44.6736646
,Iceland,04/27/2020 14:50,1792,10,1608,2020-04-27 14:50:00,174,64.9841821,-18.1059013
,Afghanistan,04/27/2020 14:50,1703,57,220,2020-04-27 14:50:00,1426,33.7680065,66.2385139
,Estonia,04/27/2020 14:50,1647,50,233,2020-04-27 14:50:00,1364,58.75237779999999,25.3319078
,Azerbaijan,04/27/2020 14:50,1645,21,1139,2020-04-27 14:50:00,485,40.3936294,47.787250799999995
,Cameroon,04/27/2020 14:50,1621,56,786,2020-04-27 14:50:00,779,4.6125522000000005,13.153581099999998
,Ghana,04/27/2020 14:50,1550,11,155,2020-04-27 14:50:00,1384,8.0300284,-1.0800271000000001
,Bosnia and Herzegovina,04/27/2020 14:50,1516,59,624,2020-04-27 14:50:00,833,44.30534760000001,17.596146700000006
,New Zealand,04/27/2020 14:50,1469,19,1180,2020-04-27 14:50:00,270,-41.5000831,172.83440769999999
,Lithuania,04/27/2020 14:50,1449,41,474,2020-04-27 14:50:00,934,55.35000030000001,23.7499997
,Slovenia,04/27/2020 14:50,1402,83,221,2020-04-27 14:50:00,1098,45.813311299999995,14.4808369
,North Macedonia,04/27/2020 14:50,1386,61,500,2020-04-27 14:50:00,825,41.617121399999995,21.7168387
,Slovakia,04/27/2020 14:50,1381,18,403,2020-04-27 14:50:00,960,48.74115220000001,19.4528646
,Cuba,04/27/2020 14:50,1369,54,501,2020-04-27 14:50:00,814,23.013133800000002,-80.8328748
,Bulgaria,04/27/2020 14:50,1348,56,205,2020-04-27 14:50:00,1087,42.6073975,25.4856617
,Nigeria,04/27/2020 14:50,1273,40,239,2020-04-27 14:50:00,994,9.6000359,7.999972099999999
,Ivory Coast,04/27/2020 14:50,1150,14,468,2020-04-27 14:50:00,668,7.9897371,-5.5679457999999995
Hong Kong,Hong Kong,04/27/2020 14:50,1038,4,772,2020-04-27 14:50:00,262,22.2793278,114.16281310000001
,Djibouti,04/27/2020 14:50,1023,2,411,2020-04-27 14:50:00,610,11.8145966,42.8453061
,Guinea,04/27/2020 14:50,996,7,208,2020-04-27 14:50:00,781,10.7226226,-10.7083587
,Bolivia,04/27/2020 14:50,950,50,80,2020-04-27 14:50:00,820,-17.056869600000002,-64.9912286
,Tunisia,04/27/2020 14:50,949,38,216,2020-04-27 14:50:00,695,33.8439408,9.400138
,Latvia,04/27/2020 14:50,818,13,267,2020-04-27 14:50:00,538,56.8406494,24.7537645
,Cyprus,04/27/2020 14:50,817,14,148,2020-04-27 14:50:00,655,34.982301799999995,33.1451285
,Andorra,04/27/2020 14:50,738,40,344,2020-04-27 14:50:00,354,42.540716700000004,1.5732033
,Albania,04/27/2020 14:50,726,28,410,2020-04-27 14:50:00,288,41.000028,19.9999619
Yokohama,Japan,04/27/2020 14:50,712,13,645,2020-04-27 14:50:00,54,35.44499099999999,139.636768
,Lebanon,04/27/2020 14:50,707,24,145,2020-04-27 14:50:00,538,33.875062899999996,35.843409
,Niger,04/27/2020 14:50,696,29,350,2020-04-27 14:50:00,317,17.7356214,9.323843199999999
,Kyrgyzstan,04/27/2020 14:50,695,8,395,2020-04-27 14:50:00,292,41.5089324,74.724091
,Costa Rica,04/27/2020 14:50,695,6,264,2020-04-27 14:50:00,425,10.2735633,-84.0739102
,Senegal,04/27/2020 14:50,671,9,283,2020-04-27 14:50:00,379,14.475060699999998,-14.452961199999999
,Honduras,04/27/2020 14:50,661,61,79,2020-04-27 14:50:00,521,15.2572432,-86.0755145
,Burkina Faso,04/27/2020 14:50,632,42,453,2020-04-27 14:50:00,137,12.075308300000001,-1.6880313999999998
,Uruguay,04/27/2020 14:50,606,15,375,2020-04-27 14:50:00,216,-32.8755548,-56.0201525
,San Marino,04/27/2020 14:50,538,41,64,2020-04-27 14:50:00,433,43.945862299999995,12.458306
,Channel Islands,04/27/2020 14:50,525,35,332,2020-04-27 14:50:00,158,49.4622912,-2.5812022999999997
,Sri Lanka,04/27/2020 14:50,523,7,126,2020-04-27 14:50:00,390,7.555494199999999,80.7137847
,Guatemala,04/27/2020 14:50,500,15,49,2020-04-27 14:50:00,436,15.635608800000002,-89.8988087
,Georgia,04/27/2020 14:50,496,6,149,2020-04-27 14:50:00,341,41.6809707,44.02873820000001
,DRC,04/27/2020 14:50,459,28,50,2020-04-27 14:50:00,381,-4.0324900999999995,22.4574787
,Malta,04/27/2020 14:50,448,4,282,2020-04-27 14:50:00,162,35.888599299999996,14.4476911
,Jordan,04/27/2020 14:50,447,7,337,2020-04-27 14:50:00,103,31.1667049,36.941628
,Somalia,04/27/2020 14:50,436,23,10,2020-04-27 14:50:00,403,8.3676771,49.083416
Taiwan,Taiwan,04/27/2020 14:50,429,6,290,2020-04-27 14:50:00,133,23.973937399999997,120.9820179
,Reunion,04/27/2020 14:50,417,0,300,2020-04-27 14:50:00,117,-21.1309332,55.526577100000004
,Mayotte,04/27/2020 14:50,401,4,144,2020-04-27 14:50:00,253,-12.823048,45.1520755
,Mali,04/27/2020 14:50,389,23,112,2020-04-27 14:50:00,254,16.3700359,-2.2900238999999996
,Kenya,04/27/2020 14:50,355,14,106,2020-04-27 14:50:00,235,1.4419683,38.431397499999996
,Jamaica,04/27/2020 14:50,350,7,28,2020-04-27 14:50:00,315,18.115295800000002,-77.15984549999997
,Palestine,04/27/2020 14:50,342,2,83,2020-04-27 14:50:00,257,31.9469665,35.2738655
,Mauritius,04/27/2020 14:50,332,9,299,2020-04-27 14:50:00,24,-20.2759451,57.5703566
,Venezuela,04/27/2020 14:50,325,10,137,2020-04-27 14:50:00,178,8.0018709,-66.1109318
,El Salvador,04/27/2020 14:50,323,8,89,2020-04-27 14:50:00,226,13.800038199999998,-88.9140683
,Montenegro,04/27/2020 14:50,321,7,153,2020-04-27 14:50:00,161,42.9868853,19.518099199999998
,Isle of Man,04/27/2020 14:50,308,18,247,2020-04-27 14:50:00,43,54.2358167,-4.5145987000000005
,Tanzania,04/27/2020 14:50,299,10,48,2020-04-27 14:50:00,241,-6.5247123,35.7878438
,Vietnam,04/27/2020 14:50,270,0,225,2020-04-27 14:50:00,45,13.2904027,108.42651129999999
,Equatorial Guinea,04/27/2020 14:50,258,1,8,2020-04-27 14:50:00,249,1.6131719999999998,10.5170357
,Sudan,04/27/2020 14:50,237,21,20,2020-04-27 14:50:00,196,14.584444400000002,29.4917691
,Paraguay,04/27/2020 14:50,228,9,85,2020-04-27 14:50:00,134,-23.3165935,-58.169344499999994
,Maldives,04/27/2020 14:50,214,0,17,2020-04-27 14:50:00,197,4.7064352,73.3287853
,Congo,04/27/2020 14:50,200,6,19,2020-04-27 14:50:00,175,-0.7264326999999999,15.6419155
,Rwanda,04/27/2020 14:50,191,0,92,2020-04-27 14:50:00,99,-1.9646631,30.064435800000002
,Faeroe Islands,04/27/2020 14:50,187,0,178,2020-04-27 14:50:00,9,62.19850039999999,-6.817412400000001
,Gabon,04/27/2020 14:50,176,3,30,2020-04-27 14:50:00,143,-0.8999695,11.689969900000001
,Martinique,04/27/2020 14:50,175,14,77,2020-04-27 14:50:00,84,14.636792699999999,-61.0158269
,Guadeloupe,04/27/2020 14:50,149,12,82,2020-04-27 14:50:00,55,16.2490067,-61.56504440000001
,Myanmar,04/27/2020 14:50,146,5,10,2020-04-27 14:50:00,131,17.1750495,95.9999652
,Gibraltar,04/27/2020 14:50,141,0,131,2020-04-27 14:50:00,10,36.106747,-5.3352772
,Brunei,04/27/2020 14:50,138,1,124,2020-04-27 14:50:00,13,4.4137154999999995,114.5653908
,Liberia,04/27/2020 14:50,124,12,25,2020-04-27 14:50:00,87,5.7499721,-9.3658524
,Madagascar,04/27/2020 14:50,124,0,71,2020-04-27 14:50:00,53,-18.9249604,46.441642200000004
,Ethiopia,04/27/2020 14:50,123,3,41,2020-04-27 14:50:00,79,10.211670199999999,38.6521203
,Cambodia,04/27/2020 14:50,122,0,119,2020-04-27 14:50:00,3,13.5066394,104.869423
,Trinidad and Tobago,04/27/2020 14:50,116,8,58,2020-04-27 14:50:00,50,10.8677845,-60.9821067
,French Guiana,04/27/2020 14:50,111,1,87,2020-04-27 14:50:00,23,4.0039882,-52.999998
,Bermuda,04/27/2020 14:50,109,6,39,2020-04-27 14:50:00,64,32.3018217,-64.7603583
,Cabo Verde,04/27/2020 14:50,106,1,1,2020-04-27 14:50:00,104,16.0000552,-24.0083947
,Aruba,04/27/2020 14:50,100,2,73,2020-04-27 14:50:00,25,12.4902998,-69.96098420000001
,Togo,04/27/2020 14:50,98,6,62,2020-04-27 14:50:00,30,8.7800265,1.0199764999999998
,Monaco,04/27/2020 14:50,94,4,42,2020-04-27 14:50:00,48,43.7384402,7.4242474000000005
,Sierra Leone,04/27/2020 14:50,93,4,10,2020-04-27 14:50:00,79,8.6400349,-11.8400269
,Zambia,04/27/2020 14:50,88,3,42,2020-04-27 14:50:00,43,-14.5186239,27.5599164
,Liechtenstein,04/27/2020 14:50,82,1,55,2020-04-27 14:50:00,26,47.1416307,9.553152699999998
,Bahamas,04/27/2020 14:50,80,11,22,2020-04-27 14:50:00,47,24.7736546,-78.0000547
,Barbados,04/27/2020 14:50,79,6,39,2020-04-27 14:50:00,34,13.1500331,-59.52503050000001
,Uganda,04/27/2020 14:50,79,0,46,2020-04-27 14:50:00,33,1.5333553999999998,32.2166578
,Mozambique,04/27/2020 14:50,76,0,12,2020-04-27 14:50:00,64,-19.302232999999998,34.9144977
,Sint Maarten,04/27/2020 14:50,74,13,33,2020-04-27 14:50:00,28,18.038454,-63.054053
,Guyana,04/27/2020 14:50,74,8,12,2020-04-27 14:50:00,54,4.8417097,-58.64168910000001
,Haiti,04/27/2020 14:50,74,6,7,2020-04-27 14:50:00,61,19.139995199999998,-72.35709720000001
,Cayman Islands,04/27/2020 14:50,70,1,8,2020-04-27 14:50:00,61,19.5417212,-80.5667132
,Benin,04/27/2020 14:50,64,1,33,2020-04-27 14:50:00,30,9.5293472,2.2584408
,Libya,04/27/2020 14:50,61,2,18,2020-04-27 14:50:00,41,26.8234472,18.1236723
,Eswatini,04/27/2020 14:50,59,1,10,2020-04-27 14:50:00,48,-26.562480600000004,31.399131699999998
,French Polynesia,04/27/2020 14:50,57,0,43,2020-04-27 14:50:00,14,-16.0344249,-146.0490931
,Guinea-Bissau,04/27/2020 14:50,53,1,3,2020-04-27 14:50:00,49,12.100035,-14.9000214
,Nepal,04/27/2020 14:50,52,0,16,2020-04-27 14:50:00,36,28.108392900000002,84.0917139
,Chad,04/27/2020 14:50,46,0,15,2020-04-27 14:50:00,31,15.613413699999999,19.015617199999998
Macau,Macau,04/27/2020 14:50,45,0,31,2020-04-27 14:50:00,14,22.17576050000001,113.5514142
,Syria,04/27/2020 14:50,43,3,14,2020-04-27 14:50:00,26,34.6401861,39.0494106
,Eritrea,04/27/2020 14:50,39,0,13,2020-04-27 14:50:00,26,15.950031900000004,37.999966799999996
,Saint Martin,04/27/2020 14:50,38,3,24,2020-04-27 14:50:00,11,18.089105,-63.04460400000001
